Station Id,Station,Pr�c�dent,Suivant,Temps entre 2 stations,Temps de Changement,Column1,_1,Longitude d�part,Latitude d�part ,_2,Longitude arriv�e,Latitude arriv�e,_3,Distance,temps en secondes,temps en minutes,moyenne en minute
1,Porte Maillot,,2,,,,,2282583847,4887816265,,2289435419,4887566738,,572752249,9824223825,1637370637,191406506
2,Argentine,,3,,,,,2289435419,4887566738,,2295811775,4887499458,,4722840874,8100927742,1350154624,
3,Charles de Gaulle - Etoile,,4,,,,,2295811775,4887499458,,2300759785,4887203776,,4889296668,8386443685,1397740614,
4,George V,,5,,,,,2300759785,4887203776,,2309488192,4886872489,,7370548161,1264244968,2107074946,
5,Franklin D. Roosevelt,,6,,,,,2309488192,4886872489,,2314464501,4886765629,,3828876992,656754201,1094590335,
6,Champs-Elysées - Clemenceau,,7,,,,,2314464501,4886765629,,2322961446,4886655799,,6333931473,1086437645,1810729409,
7,Concorde,,8,,,,,2322961446,4886655799,,2329678095,4886447784,,5430289215,9314389735,1552398289,
8,Tuileries,,9,,,,,2329678095,4886447784,,2336454368,4886222226,,5555274088,9528772021,158812867,
9,Palais Royal - Musée du Louvre,,10,,,,,2336454368,4886222226,,2340969623,4886087121,,3628637334,6224077759,1037346293,
10,Louvre - Rivoli,,11,,,,,2340969623,4886087121,,2348160991,4885695346,,6830489985,1171610632,1952684387,
11,Châtelet,,12,,,,,2348160991,4885695346,,235206767,488573524,,2892324614,4961105685,826850948,
12,Hôtel de Ville,,13,,,,,235206767,488573524,,2360885256,4885518742,,6885553792,1181055539,1968425898,
13,Saint-Paul (Le Marais),,14,,,,,2360885256,4885518742,,2368718961,4885205429,,6707272696,1150475591,1917459318,
14,Bastille,,15,,,,,2368718961,4885205429,,2373156594,4884568321,,7793017059,1336709616,2227849359,
15,Gare de Lyon,,16,,,,,2373156594,4884568321,,238720107,4884721293,,1041687027,1786770201,2977950335,
16,Reuilly - Diderot,,17,,,,,238720107,4884721293,,2395843989,4884808429,,6398100748,1097444382,182907397,
17,Nation,,18,,,,,2395843989,4884808429,,2410804997,4884700773,,110127435,1888978302,3148297171,
18,Porte de Vincennes,,19,,,,,2410804997,4884700773,,2440540095,4884431751,,2196368475,3767355875,6278926458,
19,Château de Vincennes,,0,,,,,2440540095,4884431751,,,,,,,,
20,Porte Dauphine,,21,,,,,2277632718,4887139679,,2285828766,4886992608,,6213628837,1065802545,1776337575,
21,Victor Hugo,,22,,,,,2285828766,4886992608,,2295811775,4887499458,,9223459987,1582068608,2636781014,
22,Charles de Gaulle - Etoile,,23,,3,,,2295811775,4887499458,,2298113289,4887822773,,3969587902,6808898631,1134816438,
23,Ternes,,24,,,,,2298113289,4887822773,,2303294362,4887926525,,396055828,6793410428,1132235071,
24,Courcelles,,25,,,,,2303294362,4887926525,,2309412967,4888056877,,4703218812,8067270689,1344545115,
25,Monceau,,26,,,,,2309412967,4888056877,,2315815093,4888107318,,4715022836,808751773,1347919622,
26,Villiers,,27,,,,,2315815093,4888107318,,2321359174,4888234582,,42939124,7365201372,1227533562,
27,Rome,,28,,,,,2321359174,4888234582,,2327958328,4888366909,,5044761911,8653107908,1442184651,
28,Place de Clichy,,29,,,,,2327958328,4888366909,,2332484375,4888376635,,3311239366,5679655859,94660931,
29,Blanche,,30,,,,,2332484375,4888376635,,2337211165,4888202093,,3963948085,6799224845,1133204141,
30,Pigalle,,31,,,,,2337211165,4888202093,,234415484,4888286857,,5164127995,8857852479,1476308747,
31,Anvers,,32,,,,,234415484,4888286857,,2350607079,4888377609,,4824665629,8275584269,1379264045,
32,Barbès - Rochechouart,,33,,,,,2350607079,4888377609,,2360404169,4888438641,,7195712838,1234256061,2057093436,
33,La Chapelle,,34,,,,,2360404169,4888438641,,2365774371,4888432055,,3927356921,673646127,1122743545,
34,Stalingrad,,35,,,,,2365774371,4888432055,,237143896,4888302391,,4385752326,7522731262,1253788544,
35,Jaurès,,36,,,,,237143896,4888302391,,2370467575,4887764981,,6017796719,103221213,172035355,
36,Colonel Fabien,,37,,,,,2370467575,4887764981,,2376735587,488722866,,7521826843,1290193284,2150322139,
37,Belleville,,38,,,,,2376735587,488722866,,2380288983,4886919334,,4311029356,7394561502,1232426917,
